Table,Field,Data Type,Nullable,Key/Constraint,Default,Description,Suggested Dataverse Column
scenarios,scenario_id,INTEGER,No,Primary key,Auto increment,Internal scenario identifier,nb_budgetscenarioid
scenarios,scenario_code,TEXT,No,Unique,,Human-readable scenario code,nb_scenariocode
scenarios,company_name,TEXT,No,,,AI-generated manufacturing company name,nb_companyname
scenarios,budget_year,INTEGER,No,,,Fiscal year covered by the master budget,nb_budgetyear
scenarios,difficulty,TEXT,No,,,Academic difficulty and target level,nb_difficulty
scenarios,assignment_information_access,TEXT,No,CHECK: professor_only or student_and_professor,professor_only,Controls whether case facts and assignment requirements are available only within the professor access suite or also released to students,nb_assignmentinformationaccess
scenarios,assumptions_json,TEXT/JSON,No,,,Professor-access assignment assumptions and case facts used by the calculation engine,nb_assumptionsjson
scenarios,schedules_json,TEXT/JSON,No,,,"Budget workspace schedule definitions, columns, rows, weights, and instructions required for student completion",nb_schedulesjson
scenarios,solution_json,TEXT/JSON,No,,,Instructor solution keyed by budget cell identifier,nb_solutionjson
scenarios,active,INTEGER/Boolean,No,,1,Indicates whether the scenario is available,statecode or nb_active
scenarios,created_at,TEXT/UTC timestamp,No,,,Scenario creation timestamp,createdon
users,user_id,INTEGER,No,Primary key,Auto increment,Application user identifier,nb_budgetuserid
users,username,TEXT,No,Unique,,"Internal user identifier; professor accounts use Professor, Professor 1, or Professor 2 sign-in names, while students authenticate through linked student_roster.student_name",nb_username
users,display_name,TEXT,No,,,Professor or student display name,nb_name
users,role,TEXT,No,,,Authorization role: professor or student,nb_role
users,password_hash,TEXT,Yes,,,PBKDF2-SHA256 salted password hash for all professor accounts. Student authentication uses linked student_roster.password.,Not recommended for Dataverse; use Microsoft Entra ID
users,active,INTEGER/Boolean,No,,1,Account enabled flag,statecode or nb_active
users,scenario_id,INTEGER,No,Foreign key,,Assigned scenario,nb_BudgetScenario lookup
users,created_at,TEXT/UTC timestamp,No,,,Account creation timestamp,createdon
student_roster,student_id,INTEGER,No,Primary key,Auto increment,Student Table row identifier used in the Professor section,nb_studentrosterid
student_roster,professor_user_id,INTEGER,No,Foreign key,,Professor account that owns this independent Student Table row; professor dashboard queries and controls are scoped to this owner,nb_ProfessorUser lookup
student_roster,user_id,INTEGER,No,Unique foreign key,,Links the rostered student name and password to the existing application user/session record,nb_BudgetUser lookup
student_roster,student_name,TEXT,No,Unique,,Authorized student name used for student sign-in; names remain globally unique so the existing name + five-digit password login does not require a professor selector,nb_studentname
student_roster,password,TEXT,Yes,Exactly 5 numeric digits when set,NULL,Student-created five-digit numerical password stored as plain text; NULL until first successful student access. A one-time Render migration clears stale pre-course passwords only for students with no assignment activity.,Not recommended for Dataverse; sensitive course access field
student_roster,active,INTEGER/Boolean,No,CHECK: 0 or 1,1,Controls whether the rostered student may authenticate,statecode or nb_active
student_roster,created_at,TEXT/UTC timestamp,No,,,Timestamp when the roster record was created,createdon
student_roster,password_created_at,TEXT/UTC timestamp,Yes,,NULL,Timestamp when the student first created the five-digit password,nb_passwordcreatedat
student_roster,access_claimed_at,TEXT/UTC timestamp,Yes,,NULL,Timestamp marking successful first-time password activation; used to distinguish claimed student access from pre-course/stale password state.,nb_accessclaimedat
student_roster_clear_log,clear_id,INTEGER,No,Primary key,Auto increment,End-of-semester Student Table clear event identifier,nb_studentrosterclearid
student_roster_clear_log,professor_user_id,INTEGER,No,Foreign key,,Professor account that performed the clear operation,nb_ProfessorUser lookup
